Fecha,Transacción_Detalle,Documento,Lugar,Débitos,Créditos,Saldo
2025 JUN 27,"COMPRA EN CANAL ELECTRONI - SUBWAY BOGOTA BOGCO",,"REDEBAN",19900.00,0.00,11495046.63
2025 JUN 28,"COMPRA EN CANAL ELECTRONI - LOS CHILACOS RESTAURANZIPAQUIRA CO",,"ASCREDIBANCO",61000.00,0.00,11434046.63
2025 JUN 29,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ZIPAQUIRA TOZIPAQUIRA CO",,"ASCREDIBANCO",42590.00,0.00,11391456.63
2025 JUN 30,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,346.00,11391802.63
2025 JUL 01,"DB TRANSFEREN OTRA CUENTA",43688091,INTERNET,500000.00,0.00,10891802.63
2025 JUL 03,"COMPRA EN CANAL ELECTRONI - OXXO ELEMENTO BOGOTA CO",,"ASCREDIBANCO",5900.00,0.00,10885902.63
2025 JUL 03,"COMPRA INTERNET - 197931751560526330 Recarga Nequi PSE",00018511,INTERNET,200000.00,0.00,10685902.63
2025 JUL 05,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,77880.00,0.00,10608022.63
2025 JUL 05,"RETIRO RED PROPIA",21323913,"EXITO QUIRIGUA",300000.00,0.00,10308022.63
2025 JUL 05,"COMPRA EN CANAL ELECTRONI - BOLD*Bucaramanga Bon BOGOTA CO",,"ASCREDIBANCO",35000.00,0.00,10273022.63
2025 JUL 06,"COMPRA EN CANAL ELECTRONI - CAC*DROGUERIA MI FARMAZIPAQUIRA CO",,"ASCREDIBANCO",72200.00,0.00,10200822.63
2025 JUL 07,"DB PAGO PRESTAMO",00134200,INTERNET,1721970.00,0.00,8478852.63
2025 JUL 08,"COMPRA INTERNET - 293957018175201566 Pago multiples facturas Movistar",13953210,INTERNET,15980.00,0.00,8462872.63
2025 JUL 08,"COMPRA EN CANAL ELECTRONI - TIENDAS ARA ZIPAQUIRA CO",,"ASCREDIBANCO",35782.00,0.00,8427090.63
2025 JUL 11,"COMPRA EN CANAL ELECTRONI - PANADERIA Y PASTELERIABOGOTA BOGCO",,"REDEBAN",10500.00,0.00,8416590.63
2025 JUL 12,"COMPRA EN CANAL ELECTRONI - KOAJ ZIPAQUIRA ZIPAQUIRA CUNCO",,"REDEBAN",180700.00,0.00,8235890.63
2025 JUL 12,"RETIRO RED PROPIA",20479491,"ZIPAQUIRA III",200000.00,0.00,8035890.63
2025 JUL 13,"COMPRA EN CANAL ELECTRONI - ALMACEN LA REBAJA ZIPAQUIRA CUNCO",,"REDEBAN",54500.00,0.00,7981390.63
2025 JUL 13,"COMPRA EN CANAL ELECTRONI - BOLD*Parrilla Real ZIPAQUIRA CO",,"ASCREDIBANCO",52500.00,0.00,7928890.63
2025 JUL 14,"COMPRA EN CANAL ELECTRONI - OXXO ELEMENTO BOGOTA CO",,"ASCREDIBANCO",7450.00,0.00,7921440.63
2025 JUL 15,"DEBITO POR RECAUDO DOMICILIACIONES - CLARO HOGAR 70141243",,,60720.00,0.00,7860720.63
2025 JUL 15,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",46832195,ACH,0.00,3852010.00,11712730.63
2025 JUL 16,"DB TRANSFEREN OTRA CUENTA",22910475,INTERNET,500000.00,0.00,11212730.63
2025 JUL 16,"DB PAGO PRESTAMO",00009939,"AVENIDA EL DORADO",4000000.00,0.00,7212730.63
2025 JUL 17,"COMPRA INTERNET - 123771752772370463 Recarga Nequi PSE",35365099,INTERNET,200000.00,0.00,7012730.63
2025 JUL 17,"RETIRO RED PROPIA",01579232,"AVENIDA EL DORADO",200000.00,0.00,6812730.63
2025 JUL 17,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",22390.00,0.00,6790340.63
2025 JUL 19,"COMPRA EN CANAL ELECTRONI - CRAZYTOWN PARK CHIA CUNCO",,"REDEBAN",20000.00,0.00,6770340.63
2025 JUL 19,"COMPRA EN CANAL ELECTRONI - BOLD*Churros expres CHIA CO",,"ASCREDIBANCO",7000.00,0.00,6763340.63
2025 JUL 24,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,6748440.63
2025 JUL 25,"COMPRA INTERNET - 124641753464342852 RecargaNequiPSE",52721357,INTERNET,200000.00,0.00,6548440.63
2025 JUL 25,"DB O RETIRO OTRAS REDES - SVB 4558_CLL 26 62-491100100BOGOTABOGCO",45582466,SERVIBANCA,200000.00,0.00,6348440.63
2025 JUL 25,"COMPRA EN CANAL ELECTRONI - INVERSIONES MAVAZE BOGOTA BOGCO",,"REDEBAN",27600.00,0.00,6320840.63
2025 JUL 26,"COMPRA EN CANAL ELECTRONI - CAC*DROGUERIA MI FARMAZIPAQUIRA CO",,"ASCREDIBANCO",18100.00,0.00,6302740.63
2025 JUL 26,"COMPRA EN CANAL ELECTRONI - CAJA COMPENSACION COMPBOGOTA BOGCO",,"REDEBAN",19200.00,0.00,6283540.63
2025 JUL 26,"COMPRA EN CANAL ELECTRONI - BOLD*RESTAURANTE MAR CHIA CO",,"ASCREDIBANCO",144400.00,0.00,6139140.63
2025 JUL 26,"COMPRA EN CANAL ELECTRONI - HOMECENTER CHIA CAJICA CUNCO",,"REDEBAN",41900.00,0.00,6097240.63
2025 JUL 27,"COMPRA EN CANAL ELECTRONI - COMPREMAS 214 SOPO CUNCO",,"REDEBAN",10900.00,0.00,6086340.63
2025 JUL 27,"COMPRA EN CANAL ELECTRONI - DOLLARCITY PREMIUM OUTSOPO CO",,"ASCREDIBANCO",7500.00,0.00,6078840.63
2025 JUL 28,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",24340.00,0.00,6054500.63
2025 JUL 30,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",49642215,ACH,0.00,3581212.00,9635712.63
2025 JUL 31,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,273.90,9635986.53
2025 AGO 01,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,9621086.53
2025 AGO 01,"DB O RETIRO OTRAS REDES - SVB 3277_Avda Dorado 1100100BOGOTABOGCO",32776777,SERVIBANCA,200000.00,0.00,9421086.53
2025 AGO 02,"COMPRA EN CANAL ELECTRONI - BOLD*Divertron ZIPAQUIRA CO",,"ASCREDIBANCO",13200.00,0.00,9407886.53
2025 AGO 03,"COMPRA EN CANAL ELECTRONI - PAN PA YA RMP LAS VILLZIPAQUIRA CO",,"ASCREDIBANCO",15400.00,0.00,9392486.53
2025 AGO 03,"COMPRA EN CANAL ELECTRONI - LOS CHILACOS RESTAURANZIPAQUIRA CO",,"ASCREDIBANCO",70000.00,0.00,9322486.53
2025 AGO 03,"COMPRA INTERNET - 152981754263820479 Recarga Nequi PSE",75249511,INTERNET,200000.00,0.00,9122486.53
2025 AGO 04,"COMPRA EN CANAL ELECTRONI - PA PARAR COMBUSCOL EL BOGOTA BOGCO",,"REDEBAN",18600.00,0.00,9103886.53
2025 AGO 06,"DB TRANSFEREN OTRA CUENTA",39931783,INTERNET,500000.00,0.00,8603886.53
2025 AGO 06,"TRASLADO A OTRA ENTIDAD",40310354,INTERNET,737171.00,0.00,7866715.53
2025 AGO 06,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,7851815.53
2025 AGO 07,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,72340.00,0.00,7779475.53
2025 AGO 07,"COMPRA EN CANAL ELECTRONI - BOLD*Palacio De La G ZIPAQUIRA CO",,"ASCREDIBANCO",78500.00,0.00,7700975.53
2025 AGO 07,"COMPRA EN CANAL ELECTRONI - PAYMENTS WAY BOGOTA CO",,"ASCREDIBANCO",351308.00,0.00,7349667.53
2025 AGO 09,"COMPRA EN CANAL ELECTRONI - COMPENSAR CAJICA CUNCO",,"REDEBAN",19200.00,0.00,7330467.53
2025 AGO 09,"DB PAGO PRESTAMO",00134200,INTERNET,1723740.00,0.00,5606727.53
2025 AGO 09,"COMPRA EN CANAL ELECTRONI - TIENDAS ARA ZIPAQUIRA CO",,"ASCREDIBANCO",20950.00,0.00,5585777.53
2025 AGO 10,"COMPRA EN CANAL ELECTRONI - LACTEOS DE ZIPAQUIRA ZIPAQUIRA CUNCO",,"REDEBAN",16500.00,0.00,5569277.53
2025 AGO 10,"COMPRA EN CANAL ELECTRONI - LA MORELLA GOURMET ZIPAQUIRA CUNCO",,"REDEBAN",50000.00,0.00,5519277.53
2025 AGO 11,"DB O RETIRO OTRAS REDES - SVB 3277_Avda Dorado 1100100BOGOTABOGCO",32777314,SERVIBANCA,200000.00,0.00,5319277.53
2025 AGO 12,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",14200.00,0.00,5305077.53
2025 AGO 13,"COMPRA INTERNET - 188911755105156321 RecargaNequiPSE",98482165,INTERNET,200000.00,0.00,5105077.53
2025 AGO 14,"COMPRA INTERNET - 121794560721 Pago a traves de PSE 121794560721",00375293,INTERNET,67372.00,0.00,5037705.53
2025 AGO 14,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",5400.00,0.00,5032305.53
2025 AGO 15,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",10900.00,0.00,5021405.53
2025 AGO 15,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",53023475,ACH,0.00,3852010.00,8873415.53
2025 AGO 17,"COMPRA EN CANAL ELECTRONI - MARKET POINT DC ZIPAQUIRA CUNCO",,"REDEBAN",14200.00,0.00,8859215.53
2025 AGO 17,"COMPRA EN CANAL ELECTRONI - ESTACION SANTA CECILIAPACHO CUNCO",,"REDEBAN",32740.00,0.00,8826475.53
2025 AGO 17,"COMPRA EN CANAL ELECTRONI - EDS DEIFRO PACHO CO",,"ASCREDIBANCO",16338.00,0.00,8810137.53
2025 AGO 18,"COMPRA EN CANAL ELECTRONI - SUPERMERCADO SIENNA ZIPAQUIRA CUNCO",,"REDEBAN",7500.00,0.00,8802637.53
2025 AGO 18,"COMPRA EN CANAL ELECTRONI - CAC*DROGUERIA MI FARMAZIPAQUIRA CO",,"ASCREDIBANCO",6500.00,0.00,8796137.53
2025 AGO 18,"COMPRA EN CANAL ELECTRONI - SUPERMERCADO SIENNA ZIPAQUIRA CUNCO",,"REDEBAN",16500.00,0.00,8779637.53
2025 AGO 19,"DB TRANSFEREN OTRA CUENTA",21568560,INTERNET,500000.00,0.00,8279637.53
2025 AGO 19,"DB PAGO PRESTAMO",00011718,"AVENIDA EL DORADO",4000000.00,0.00,4279637.53
2025 AGO 19,"DB O RETIRO OTRAS REDES - SVB 3277_Avda Dorado 1100100BOGOTABOGCO",32777623,SERVIBANCA,200000.00,0.00,4079637.53
2025 AGO 21,"COMPRA INTERNET - 169821755771997264 RecargaNequiPSE",16466532,INTERNET,200000.00,0.00,3879637.53
2025 AGO 21,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,3864737.53
2025 AGO 22,"COMPRA EN CANAL ELECTRONI - OXXO ELEMENTO BUCARAMANGA CO",,"ASCREDIBANCO",5750.00,0.00,3858987.53
2025 AGO 22,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",10900.00,0.00,3848087.53
2025 AGO 23,"COMPRA EN CANAL ELECTRONI - BIOMAX LA ESTRELLA ZIPAQUIRA CUNCO",,"REDEBAN",167921.00,0.00,3680166.53
2025 AGO 23,"COMPRA EN CANAL ELECTRONI - COMPREMAS 101 ZIPAQUIRA CUNCO",,"REDEBAN",134300.00,0.00,3545866.53
2025 AGO 23,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ZIPAQUIRA TOZIPAQUIRA CO",,"ASCREDIBANCO",36370.00,0.00,3509496.53
2025 AGO 24,"COMPRA EN CANAL ELECTRONI - TIENDAS ARA ZIPAQUIRA CO",,"ASCREDIBANCO",42270.00,0.00,3467226.53
2025 AGO 24,"COMPRA EN CANAL ELECTRONI - COMPREMAS 101 ZIPAQUIRA CUNCO",,"REDEBAN",11600.00,0.00,3455626.53
2025 AGO 25,"DB O RETIRO OTRAS REDES - SVB 3277_Avda Dorado 1100100BOGOTABOGCO",32777873,SERVIBANCA,200000.00,0.00,3255626.53
2025 AGO 28,"COMPRA INTERNET - 192681756380796876 RecargaNequiPSE",31829018,INTERNET,70000.00,0.00,3185626.53
2025 AGO 28,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",20240.00,0.00,3165386.53
2025 AGO 29,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,3150486.53
2025 AGO 29,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",55545235,ACH,0.00,3581212.00,6731698.53
2025 AGO 29,"COMPRA EN CANAL ELECTRONI - SALSAMENTARIA DEL ZIPAZIPAQUIRA CO",,"ASCREDIBANCO",42950.00,0.00,6688748.53
2025 AGO 29,"COMPRA EN CANAL ELECTRONI - GRAN FRUVAR DEL ZIPA ZIPAQUIRA CUNCO",,"REDEBAN",19400.00,0.00,6669348.53
2025 AGO 30,"RETIRO EFECT. CTA O CERT.",,"ZIPAQUIRA",3000000.00,0.00,3669348.53
2025 AGO 30,"COMPRA EN CANAL ELECTRONI - BOLD*Churros expres CHIA CO",,"ASCREDIBANCO",10000.00,0.00,3659348.53
2025 AGO 31,"COMPRA EN CANAL ELECTRONI - LACTEOS DE ZIPAQUIRA ZIPAQUIRA CUNCO",,"REDEBAN",54000.00,0.00,3605348.53
2025 AGO 31,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,229.22,3605577.75
2025 SEP 01,"TRANSFERENCIAS TRANSFIYA",49413152,INTERNET,1500000.00,0.00,2105577.75
2025 SEP 03,"DB TRANSFEREN OTRA CUENTA",08805017,INTERNET,500000.00,0.00,1605577.75
2025 SEP 03,"DB O RETIRO OTRAS REDES - SVB 2636_Carrera 61 #1100100BOGOTABOGCO",26363930,SERVIBANCA,200000.00,0.00,1405577.75
2025 SEP 03,"TRANSFERENCIAS TRANSFIYA",46604098,INTERNET,300000.00,0.00,1105577.75
2025 SEP 03,"COMPRA EN CANAL ELECTRONI - BOLD*CROKERS ZIPAQUIRA CO",,"ASCREDIBANCO",11800.00,0.00,1093777.75
2025 SEP 04,"COMPRA EN CANAL ELECTRONI - TIENDA D1 ARRECIFE BOGOTA CO",,"ASCREDIBANCO",15400.00,0.00,1078377.75
2025 SEP 05,"DEBITO POR RECAUDO DOMICILIACIONES - ENEL 78245684",,,78670.00,0.00,999707.75
2025 SEP 05,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,984807.75
2025 SEP 06,"COMPRA EN CANAL ELECTRONI - KFC ZIPAQUIRA BOGOTA CO",,"ASCREDIBANCO",67100.00,0.00,917707.75
2025 SEP 06,"COMPRA EN CANAL ELECTRONI - LA MORELLA GOURMET ZIPAQUIRA CUNCO",,"REDEBAN",51000.00,0.00,866707.75
2025 SEP 07,"COMPRA EN CANAL ELECTRONI - TIENDAS ARA ZIPAQUIRA CO",,"ASCREDIBANCO",48880.00,0.00,817827.75
2025 SEP 09,"DEBITO POR RECAUDO - BANCO CAJA SOCIAL BC92586251 23931962 0701",,"INTERNET",42674.00,0.00,775153.75
2025 SEP 11,"DB O RETIRO OTRAS REDES - SVB 2636_Carrera 61 #1100100BOGOTABOGCO",26364779,SERVIBANCA,200000.00,0.00,575153.75
2025 SEP 11,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,560253.75
2025 SEP 12,"COMPRA INTERNET - 7127016898 PAGO BANCO POPULAR - TARJETA DE CR DITO VI",72637656,INTERNET,94772.00,0.00,465481.75
2025 SEP 13,"COMPRA EN CANAL ELECTRONI - SUBWAY CLINICA COUNTRYBOGOTA CO",,"ASCREDIBANCO",14900.00,0.00,450581.75
2025 SEP 14,"COMPRA INTERNET - 307788216175786948 Pago multiples facturas Movistar",75502223,INTERNET,24393.00,0.00,426188.75
2025 SEP 14,"COMPRA EN CANAL ELECTRONI - PAYMENTS WAY BOGOTA CO",,"ASCREDIBANCO",308513.00,0.00,117675.75
2025 SEP 15,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",58625023,ACH,0.00,3852010.00,3969685.75
2025 SEP 16,"DB TRANSFEREN OTRA CUENTA",55230859,INTERNET,500000.00,0.00,3469685.75
2025 SEP 17,"DB O RETIRO OTRAS REDES - SVB 2636_Carrera 61 #1100100BOGOTABOGCO",26365256,SERVIBANCA,200000.00,0.00,3269685.75
2025 SEP 17,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,3254785.75
2025 SEP 20,"COMPRA EN CANAL ELECTRONI - CARULLA FRESH COUNTRY BOGOTA CO",,"ASCREDIBANCO",2015.00,0.00,3252770.75
2025 SEP 20,"COMPRA EN CANAL ELECTRONI - SUBWAY CLINICA COUNTRYBOGOTA CO",,"ASCREDIBANCO",18900.00,0.00,3233870.75
2025 SEP 20,"COMPRA EN CANAL ELECTRONI - EDS PONTEVEDRA FR MEDELLIN CO",,"ASCREDIBANCO",145492.00,0.00,3088378.75
2025 SEP 21,"COMPRA EN CANAL ELECTRONI - TIENDA D1 LA ESPANOLA BOGOTA CO",,"ASCREDIBANCO",43770.00,0.00,3044608.75
2025 SEP 22,"COMPRA INTERNET - 595058 SIMILPAY - EMPRESAS P BLICAS DE ZIPAQUIR",94408664,INTERNET,114174.00,0.00,2930434.75
2025 SEP 22,"DB PAGO PRESTAMO",00134200,INTERNET,1727330.00,0.00,1203104.75
2025 SEP 23,"TRANSFERENCIAS TRANSFIYA",25517682,INTERNET,200000.00,0.00,1003104.75
2025 SEP 24,"DB O RETIRO OTRAS REDES - SVB 2636_Carrera 61 #1100100BOGOTABOGCO",26366208,SERVIBANCA,200000.00,0.00,803104.75
2025 SEP 26,"COMPRA EN CANAL ELECTRONI - SUBWAY TEXACO 26 BOGOTA BOGCO",,"REDEBAN",14900.00,0.00,788204.75
2025 SEP 26,"COMPRA EN CANAL ELECTRONI - PAN PA YA RMP LAS VILLZIPAQUIRA CO",,"ASCREDIBANCO",16200.00,0.00,772004.75
2025 SEP 27,"COMPRA INTERNET - 127205461989 Pago a traves de PSE 127205461989",07211771,INTERNET,86280.00,0.00,685724.75
2025 SEP 29,"COMPRA EN CANAL ELECTRONI - TIENDAS ARA ZIPAQUIRA CO",,"ASCREDIBANCO",31180.00,0.00,654544.75
2025 SEP 30,"DB O RETIRO OTRAS REDES - SVB 2636_Carrera 61 #1100100BOGOTABOGCO",26367124,SERVIBANCA,200000.00,0.00,454544.75
2025 SEP 30,"ABONO NOMINA - INTER RAPIDISPNOMINA QUINCENA",61505138,ACH,0.00,3581212.00,4035756.75
2025 SEP 30,"ABONO DE INTERESES",12345678,"CALLE 53",0.00,107.68,4035864.43
